Name,Ratings,Reviews,Phone,Website,Address,Link
L&L Hawaiian Barbecue,3.9,295,+1 415-956-2888,hawaiianbarbecue.com,"312 Kearny St, San Francisco, CA 94108, United States",https://www.google.com/maps/place/L%26L+Hawaiian+Barbecue/data=!4m7!3m6!1s0x8085808980cdae4f:0xf259696b7f4b1a6d!8m2!3d37.7910123!4d-122.4039719!16s%2Fm%2F04fhh66!19sChIJT67NgImAhYARbRpLf2tpWfI?authuser=0&hl=en&rclk=1
Rich Table,4.7,1356,+1 415-355-9085,richtablesf.com,"199 Gough St, San Francisco, CA 94102, United States",https://www.google.com/maps/place/Rich+Table/data=!4m7!3m6!1s0x8085809f40b8fd87:0x7b5e765335d416ff!8m2!3d37.7748657!4d-122.4228497!16s%2Fg%2F11h18mfkk!19sChIJh_24QJ-AhYAR_xbUNVN2Xns?authuser=0&hl=en&rclk=1
Lazy Bear,4.8,1031,+1 415-874-9921,lazybearsf.com,"3416 19th St, San Francisco, CA 94110, United States",https://www.google.com/maps/place/Lazy+Bear/data=!4m7!3m6!1s0x808f7e3c8b5b7e93:0x7e267bfa507a2912!8m2!3d37.7604119!4d-122.4197156!16s%2Fg%2F11b63f5_6r!19sChIJk35bizx-j4AREil6UPp7Jn4?authuser=0&hl=en&rclk=1
Sotto Mare,4.6,4216,+1 415-398-3181,sottomaresf.com,"552 Green St, San Francisco, CA 94133, United States",https://www.google.com/maps/place/Sotto+Mare/data=!4m7!3m6!1s0x808580f15632f641:0xa45875806e285c25!8m2!3d37.7997503!4d-122.4083449!16s%2Fm%2F04fhr_9!19sChIJQfYyVvGAhYARJVwoboB1WKQ?authuser=0&hl=en&rclk=1
N/A,N/A,N/A,N/A,N/A,"N/A",https://www.google.com/maps/place/State+Bird+Provisions/data=!4m7!3m6!1s0x808580b9a406b943:0x696de890da9ee029!8m2!3d37.7836806!4d-122.4330028!16s%2Fm%2F0xmdqk9!19sChIJQ7kGpLmAhYARKeCe2pDobWk?authuser=0&hl=en&rclk=1
House of Prime Rib,4.7,6224,+1 415-885-4605,houseofprimerib.net,"1906 Van Ness Ave, San Francisco, CA 94109, United States",https://www.google.com/maps/place/House+of+Prime+Rib/data=!4m7!3m6!1s0x808580ea69dcae83:0x3ef25abd292344d9!8m2!3d37.7934329!4d-122.422732!16s%2Fg%2F1tfctfv7!19sChIJg67caeqAhYAR2UQjKb1a8j4?authuser=0&hl=en&rclk=1
Waterbar Restaurant,4.5,3831,+1 415-284-9922,waterbarsf.com,"399 The Embarcadero, San Francisco, CA 94105, United States",https://www.google.com/maps/place/Waterbar+Restaurant/data=!4m7!3m6!1s0x808580701a2e7981:0xaf3b5f75b122566d!8m2!3d37.7904926!4d-122.3890417!16s%2Fm%2F04fjw_z!19sChIJgXkuGnCAhYARbVYisXVfO68?authuser=0&hl=en&rclk=1
Gary Danko,4.6,1968,+1 415-749-2060,garydanko.com,"800 North Point St, San Francisco, CA 94109, United States",https://www.google.com/maps/place/Gary+Danko/data=!4m7!3m6!1s0x808580e125367eab:0x8ee57d9f647dbc1!8m2!3d37.8058651!4d-122.4206043!16s%2Fm%2F01znl1j!19sChIJq342JeGAhYARwdtH9tlX7gg?authuser=0&hl=en&rclk=1
Sons & Daughters,4.6,321,+1 415-994-7933,sonsanddaughterssf.com,"Between Mason &, 708 Bush Street, Powell St, San Francisco, CA 94108, United States",https://www.google.com/maps/place/Sons+%26+Daughters/data=!4m7!3m6!1s0x8085808c3ac875bd:0xb69a9d75abb1e87b!8m2!3d37.7902449!4d-122.409088!16s%2Fg%2F11bwf5vhwt!19sChIJvXXIOoyAhYARe-ixq3WdmrY?authuser=0&hl=en&rclk=1
Nopa,4.5,2787,+1 415-864-8643,nopasf.com,"560 Divisadero St, San Francisco, CA 94117, United States",https://www.google.com/maps/place/Nopa/data=!4m7!3m6!1s0x808580afc823d4fd:0x58725c5c1643cf05!8m2!3d37.7749009!4d-122.4375083!16s%2Fm%2F04fhw5p!19sChIJ_dQjyK-AhYARBc9DFlxcclg?authuser=0&hl=en&rclk=1
Trestle Restaurant,4.6,1080,+1 415-772-0922,trestlesf.com,"531 Jackson St, San Francisco, CA 94133, United States",https://www.google.com/maps/place/Trestle+Restaurant/data=!4m7!3m6!1s0x808580f4d6db7e5d:0xffdcfce353003dbc!8m2!3d37.7961962!4d-122.4045409!16s%2Fg%2F11byfln3_q!19sChIJXX7b1vSAhYARvD0AU-P83P8?authuser=0&hl=en&rclk=1
Brenda's French Soul Food,4.5,5782,+1 415-345-8100,frenchsoulfood.com,"652 Polk St, San Francisco, CA 94102, United States",https://www.google.com/maps/place/Brenda%27s+French+Soul+Food/data=!4m7!3m6!1s0x808580974839db67:0xa78fa85ec6c57d21!8m2!3d37.7829132!4d-122.4188995!16s%2Fg%2F1tfst318!19sChIJZ9s5SJeAhYARIX3Fxl6oj6c?authuser=0&hl=en&rclk=1
Fog Harbor Fish House,4.5,7741,+1 415-969-2010,fogharbor.com,"39 pier, San Francisco, CA 94133, United States",https://www.google.com/maps/place/Fog+Harbor+Fish+House/data=!4m7!3m6!1s0x808580fc8bb3211d:0x5a423e79bde2d7a6!8m2!3d37.8089886!4d-122.4102974!16s%2Fg%2F1tlc890x!19sChIJHSGzi_yAhYARptfivXk-Qlo?authuser=0&hl=en&rclk=1
Delancey Street Restaurant,4.5,1460,+1 415-512-5179,delanceystreetfoundation.org,"600 The Embarcadero, San Francisco, CA 94107, United States",https://www.google.com/maps/place/Delancey+Street+Restaurant/data=!4m7!3m6!1s0x808580770df6174d:0x8be3ee157d693ab2!8m2!3d37.7843599!4d-122.3884342!16s%2Fm%2F04fjq0y!19sChIJTRf2DXeAhYARsjppfRXu44s?authuser=0&hl=en&rclk=1
Kokkari Estiatorio,4.7,2983,+1 415-981-0983,kokkari.com,"200 Jackson St, San Francisco, CA 94111, United States",https://www.google.com/maps/place/Kokkari+Estiatorio/data=!4m7!3m6!1s0x80858060747de94d:0xb3d399f14d2b6c40!8m2!3d37.7970323!4d-122.3997559!16s%2Fg%2F1tj8062w!19sChIJTel9dGCAhYARQGwrTfGZ07M?authuser=0&hl=en&rclk=1
Boulevard,4.6,1545,+1 415-543-6084,boulevardrestaurant.com,"1 Mission St, San Francisco, CA 94105, United States",https://www.google.com/maps/place/Boulevard/data=!4m7!3m6!1s0x808580644adbec17:0x34b391d08d9fe6bc!8m2!3d37.7932697!4d-122.3928679!16s%2Fg%2F11bw8f1cs_!19sChIJF-zbSmSAhYARvOafjdCRszQ?authuser=0&hl=en&rclk=1
Scoma's Restaurant,4.6,5983,+1 415-771-4383,scomas.com,"1965 Al Scoma Way, San Francisco, CA 94133, United States",https://www.google.com/maps/place/Scoma%27s+Restaurant/data=!4m7!3m6!1s0x808580fc871ec6ad:0x976bca61020dcc34!8m2!3d37.808932!4d-122.4184329!16s%2Fg%2F11fz812fpl!19sChIJrcYeh_yAhYARNMwNAmHKa5c?authuser=0&hl=en&rclk=1
Birdsong,4.7,405,+1 415-369-9161,birdsongsf.com,"1085 Mission St, San Francisco, CA 94103, United States",https://www.google.com/maps/place/Birdsong/data=!4m7!3m6!1s0x808580837c6f0b4f:0x8b8b97cdd11ec11c!8m2!3d37.7793925!4d-122.4103825!16s%2Fg%2F11fx7p89tg!19sChIJTwtvfIOAhYARHMEe0c2Xi4s?authuser=0&hl=en&rclk=1
Cotogna,4.6,1809,+1 415-775-8508,cotognasf.com,"490 Pacific Ave, San Francisco, CA 94133, United States",https://www.google.com/maps/place/Cotogna/data=!4m7!3m6!1s0x808580f5182f4603:0x355bdd340d9a7979!8m2!3d37.7974453!4d-122.4035759!16s%2Fm%2F0zc1tfb!19sChIJA0YvGPWAhYAReXmaDTTdWzU?authuser=0&hl=en&rclk=1
The Morris,4.7,557,+1 415-612-8480,themorris-sf.com,"2501 Mariposa St, San Francisco, CA 94110, United States",https://www.google.com/maps/place/The+Morris/data=!4m7!3m6!1s0x808f7e310d3891a9:0xc9872041746a8751!8m2!3d37.7629795!4d-122.4084796!16s%2Fg%2F11cs1vrpyw!19sChIJqZE4DTF-j4ARUYdqdEEgh8k?authuser=0&hl=en&rclk=1
Quince,4.6,624,+1 415-775-8500,quincerestaurant.com,"470 Pacific Ave, San Francisco, CA 94133, United States",https://www.google.com/maps/place/Quince/data=!4m7!3m6!1s0x808580bf9d87b8f1:0xfbe6db33303c954a!8m2!3d37.7974735!4d-122.4032962!16s%2Fm%2F04fhj2w!19sChIJ8biHnb-AhYARSpU8MDPb5vs?authuser=0&hl=en&rclk=1
Octavia,4.6,713,+1 415-408-7507,octavia-sf.com,"1701 Octavia St, San Francisco, CA 94109, United States",https://www.google.com/maps/place/Octavia/data=!4m7!3m6!1s0x808580bf768c7db3:0xe3bc0ff2f5356266!8m2!3d37.7879648!4d-122.4271064!16s%2Fg%2F11byckt7y_!19sChIJs32Mdr-AhYARZmI19fIPvOM?authuser=0&hl=en&rclk=1
Frances,4.7,671,+1 415-621-3870,frances-sf.com,"3870 17th St, San Francisco, CA 94114, United States",https://www.google.com/maps/place/Frances/data=!4m7!3m6!1s0x808f7e1b9ca42d93:0xcf5880e1df51075c!8m2!3d37.7627657!4d-122.4322519!16s%2Fm%2F0bd64wt!19sChIJky2knBt-j4ARXAdR3-GAWM8?authuser=0&hl=en&rclk=1
Californios,4.7,455,+1 415-757-0994,californiossf.com,"355 11th St, San Francisco, CA 94103, United States",https://www.google.com/maps/place/Californios/data=!4m7!3m6!1s0x808f7e38c2f4f021:0x752aa9a19541656d!8m2!3d37.7714672!4d-122.4128723!16s%2Fg%2F11b6b70rrp!19sChIJIfD0wjh-j4ARbWVBlaGpKnU?authuser=0&hl=en&rclk=1
Fino,4.6,872,+1 415-928-2080,finoristorante.squarespace.com,"624 Post St, San Francisco, CA 94109, United States",https://www.google.com/maps/place/Fino/data=!4m7!3m6!1s0x8085808e1afde7e7:0x7e8062403f2e62a5!8m2!3d37.7880083!4d-122.4123472!16s%2Fg%2F12cp6264w!19sChIJ5-f9Go6AhYARpWIuP0BigH4?authuser=0&hl=en&rclk=1
Hillstone,4.4,1948,+1 415-392-9280,hillstonerestaurant.com,"1800 Montgomery St, San Francisco, CA 94111, United States",https://www.google.com/maps/place/Hillstone/data=!4m7!3m6!1s0x808580f9c5f7addd:0xffbd2eca83ced6e6!8m2!3d37.805984!4d-122.405143!16s%2Fg%2F11g_2pbpj!19sChIJ3a33xfmAhYAR5tbOg8ouvf8?authuser=0&hl=en&rclk=1
Spruce,4.6,1565,+1 415-931-5100,sprucesf.com,"3640 Sacramento St, San Francisco, CA 94118, United States",https://www.google.com/maps/place/Spruce/data=!4m7!3m6!1s0x808587317bf94eff:0xb16d662a9194be31!8m2!3d37.7876049!4d-122.4527851!16s%2Fm%2F04fj82l!19sChIJ_075ezGHhYARMb6UkSpmbbE?authuser=0&hl=en&rclk=1
Original Joe's,4.5,2966,+1 415-775-4877,originaljoes.com,"601 Union St, San Francisco, CA 94133, United States",https://www.google.com/maps/place/Original+Joe%27s/data=!4m7!3m6!1s0x808580f1118b217d:0x3937c8b9b320c10b!8m2!3d37.8001849!4d-122.4093139!16s%2Fg%2F12214dzd2!19sChIJfSGLEfGAhYARC8Egs7nINzk?authuser=0&hl=en&rclk=1
Mourad,4.6,1606,+1 415-660-2500,mouradsf.com,"140 New Montgomery St #1, San Francisco, CA 94105, United States",https://www.google.com/maps/place/Mourad/data=!4m7!3m6!1s0x8085807d3f01a483:0xa8e386b194f11d36!8m2!3d37.7867734!4d-122.3999748!16s%2Fg%2F11b6_fscmm!19sChIJg6QBP32AhYARNh3xlLGG46g?authuser=0&hl=en&rclk=1
Ula Restaurant & Tapas Bar,4.2,345,+1 415-999-4950,ulasf.com,"450 Post St, San Francisco, CA 94102, United States",https://www.google.com/maps/place/Ula+Restaurant+%26+Tapas+Bar/data=!4m7!3m6!1s0x808581d5bf687bbb:0x572122ee1b0acc5d!8m2!3d37.7883413!4d-122.4093607!16s%2Fg%2F11rdhdd4hh!19sChIJu3tov9WBhYARXcwKG-4iIVc?authuser=0&hl=en&rclk=1
Liholiho Yacht Club,4.7,1657,113242108983,lycsf.com,"871 Sutter St, San Francisco, CA 94109, United States",https://www.google.com/maps/place/Liholiho+Yacht+Club/data=!4m7!3m6!1s0x8085809226a75491:0xb16e391a9d832609!8m2!3d37.7882263!4d-122.4146051!16s%2Fg%2F11b6zs699v!19sChIJkVSnJpKAhYARCSaDnRo5brE?authuser=0&hl=en&rclk=1
Angler,4.5,836,+1 415-872-9442,anglerrestaurants.com,"132 The Embarcadero, San Francisco, CA 94105, United States",https://www.google.com/maps/place/Angler/data=!4m7!3m6!1s0x8085816b28604481:0xe468fdde044a8930!8m2!3d37.7930864!4d-122.392181!16s%2Fg%2F11gjq1yg67!19sChIJgURgKGuBhYARMIlKBN79aOQ?authuser=0&hl=en&rclk=1
Ristorante Milano,4.6,378,+1 415-673-2961,milanosf.com,"1448 Pacific Ave, San Francisco, CA 94109, United States",https://www.google.com/maps/place/Ristorante+Milano/data=!4m7!3m6!1s0x808580ebfab1c08b:0x555354339b2b61e6!8m2!3d37.7954508!4d-122.4190883!16s%2Fg%2F1w96gzcp!19sChIJi8Cx-uuAhYAR5mErmzNUU1U?authuser=0&hl=en&rclk=1
Perbacco,4.4,928,+1 415-955-0663,perbaccosf.com,"230 California St, San Francisco, CA 94111, United States",https://www.google.com/maps/place/Perbacco/data=!4m7!3m6!1s0x808580619a152f37:0xce1170dbff385f40!8m2!3d37.7934333!4d-122.3993139!16s%2Fm%2F04fh_l3!19sChIJNy8VmmGAhYARQF84_9twEc4?authuser=0&hl=en&rclk=1
Frascati,4.7,370,+1 415-928-1406,frascatisf.com,"1901 Hyde St, San Francisco, CA 94109, United States",https://www.google.com/maps/place/Frascati/data=!4m7!3m6!1s0x808580e9283fb499:0xac8f6a5634075c3f!8m2!3d37.7983718!4d-122.4190744!16s%2Fg%2F1tmpf4m_!19sChIJmbQ_KOmAhYARP1wHNFZqj6w?authuser=0&hl=en&rclk=1
Harris' Restaurant - The San Francisco Steakhouse,4.6,1251,+1 415-673-1888,harrisrestaurant.com,"2100 Van Ness Ave, San Francisco, CA 94109, United States",https://www.google.com/maps/place/Harris%27+Restaurant+-+The+San+Francisco+Steakhouse/data=!4m7!3m6!1s0x808580e9f67d1f2f:0xec7c31479005259b!8m2!3d37.7950165!4d-122.4229973!16s%2Fg%2F1yl45sbf6!19sChIJLx999umAhYARmyUFkEcxfOw?authuser=0&hl=en&rclk=1
Roma Antica,4.5,1402,+1 415-896-4281,romasf.com,"3242 Scott St, San Francisco, CA 94123, United States",https://www.google.com/maps/place/Roma+Antica/data=!4m7!3m6!1s0x808580d6a05e160d:0xa809b3c1f3ec44c3!8m2!3d37.7998895!4d-122.4409673!16s%2Fg%2F11c80bw832!19sChIJDRZeoNaAhYARw0Ts88GzCag?authuser=0&hl=en&rclk=1
ROOFTOP 25,4.3,1071,+1 415-495-5875,25lusk.com,"25 Lusk St, San Francisco, CA 94107, United States",https://www.google.com/maps/place/ROOFTOP+25/data=!4m7!3m6!1s0x808f7fd640263903:0xf813d8d02ecda3b3!8m2!3d37.7784685!4d-122.3943108!16s%2Fg%2F1txy2l0t!19sChIJAzkmQNZ_j4ARs6PNLtDYE_g?authuser=0&hl=en&rclk=1
Benu,4.7,646,+1 415-685-4860,benusf.com,"22 Hawthorne St, San Francisco, CA 94105, United States",https://www.google.com/maps/place/Benu/data=!4m7!3m6!1s0x8085807daa163a49:0xeabe8c21da872bd4!8m2!3d37.7855007!4d-122.3990397!16s%2Fm%2F0x2t1w6!19sChIJSToWqn2AhYAR1CuH2iGMvuo?authuser=0&hl=en&rclk=1
Flour + Water,4.5,1602,+1 415-826-7000,flourandwater.com,"2401 Harrison St, San Francisco, CA 94110, United States",https://www.google.com/maps/place/Flour+%2B+Water/data=!4m7!3m6!1s0x808f7e375e82560d:0x672c242d518603e0!8m2!3d37.7589398!4d-122.4122858!16s%2Fm%2F0bd64xp!19sChIJDVaCXjd-j4AR4AOGUS0kLGc?authuser=0&hl=en&rclk=1
Chez Maman East,4.7,1494,+1 415-655-9542,chezmamanrestos.com,"1401 18th St, San Francisco, CA 94107, United States",https://www.google.com/maps/place/Chez+Maman+East/data=!4m7!3m6!1s0x1532f63595a49fdd:0xac59d1857e129a53!8m2!3d37.7624657!4d-122.3968045!16s%2Fg%2F1yl48gfz5!19sChIJ3Z-klTX2MhURU5oSfoXRWaw?authuser=0&hl=en&rclk=1
